driver-pairs,distance
"(1, '18', '2')",50.78918395398786
"(1, '18', '81')",49.82266461913894
"(1, '18', '20')",47.52764873864993
"(1, '18', '31')",50.04424633791633
"(1, '18', '14')",49.46946140552663
"(1, '18', '11')",47.184303860760565
"(1, '18', '22')",inf
"(1, '18', '1')",51.60872600996528
"(1, '18', '27')",55.05867211099858
"(1, '18', '40')",53.50775708021936
"(1, '18', '55')",58.44960714850635
"(1, '18', '44')",50.38833885396845
"(1, '18', '23')",54.34689067699234
"(1, '18', '16')",47.55135300747136
"(1, '18', '10')",53.068252758406864
"(1, '18', '24')",53.02225986420326
"(1, '18', '77')",51.4608781356214
"(1, '18', '63')",49.96548703950298
"(1, '18', '4')",53.76493357325248
"(1, '2', '18')",54.00706714069257
"(1, '2', '81')",46.42325954481843
"(1, '2', '20')",45.297971322926216
"(1, '2', '31')",46.476913663983694
"(1, '2', '14')",47.05664245342393
"(1, '2', '11')",45.149209595256515
"(1, '2', '22')",inf
"(1, '2', '1')",48.91888424207486
"(1, '2', '27')",55.891814276750544
"(1, '2', '40')",55.02342700475002
"(1, '2', '55')",57.2664681287008
"(1, '2', '44')",48.4967267113309
"(1, '2', '23')",53.504116464173606
"(1, '2', '16')",48.095227698735535
"(1, '2', '10')",51.856163674378564
"(1, '2', '24')",51.56321078068761
"(1, '2', '77')",49.872580539679845
"(1, '2', '63')",50.672877924315564
"(1, '2', '4')",52.18048895665824
"(1, '81', '18')",55.62911207747332
"(1, '81', '2')",51.12209944479578
"(1, '81', '20')",48.96748727472866
"(1, '81', '31')",50.048933970061285
"(1, '81', '14')",49.19857487327298
"(1, '81', '11')",47.30532958491947
"(1, '81', '22')",inf
"(1, '81', '1')",51.922762861556855
"(1, '81', '27')",55.3466004416252
"(1, '81', '40')",54.37804848888029
"(1, '81', '55')",57.0635379789789
"(1, '81', '44')",51.93954179785281
"(1, '81', '23')",54.26779072235852
"(1, '81', '16')",49.67646961165832
"(1, '81', '10')",53.21215271168713
"(1, '81', '24')",53.334601566742904
"(1, '81', '77')",52.005428401463334
"(1, '81', '63')",53.024698376366835
"(1, '81', '4')",53.78700938565077
"(1, '20', '18')",51.600490962021546
"(1, '20', '2')",47.1606224801867
"(1, '20', '81')",45.12017320369812
"(1, '20', '31')",46.690065562866515
"(1, '20', '14')",44.96940377080849
"(1, '20', '11')",44.976753521494196
"(1, '20', '22')",inf
"(1, '20', '1')",48.023012352954744
"(1, '20', '27')",54.346068089164035
"(1, '20', '40')",50.888086743038855
"(1, '20', '55')",57.50772879124304
"(1, '20', '44')",47.8958829026785
"(1, '20', '23')",51.454536935760196
"(1, '20', '16')",44.2538269455014
"(1, '20', '10')",49.00026092003107
"(1, '20', '24')",51.65970378254415
"(1, '20', '77')",47.61878119218556
"(1, '20', '63')",46.57325907933989
"(1, '20', '4')",50.83540340175425
"(1, '31', '18')",53.49337047556959
"(1, '31', '2')",49.93588468871664
"(1, '31', '81')",47.66057633367925
"(1, '31', '20')",46.10355031838135
"(1, '31', '14')",47.78863724936881
"(1, '31', '11')",46.77392256011009
"(1, '31', '22')",inf
"(1, '31', '1')",48.55452117475427
"(1, '31', '27')",56.72561572250314
"(1, '31', '40')",52.76336724767135
"(1, '31', '55')",57.45441975056613
"(1, '31', '44')",49.60620632865214
"(1, '31', '23')",54.30347335624882
"(1, '31', '16')",47.09679119356972
"(1, '31', '10')",50.42988864790937
"(1, '31', '24')",53.04992231459379
"(1, '31', '77')",50.10532595979014
"(1, '31', '63')",50.58706120915315
"(1, '31', '4')",53.70903017006683
"(1, '14', '18')",53.66977603083184
"(1, '14', '2')",48.73064206809928
"(1, '14', '81')",48.13710304664422
"(1, '14', '20')",46.58937687637921
"(1, '14', '31')",47.306352361850195
