driver-pairs,distance
"(1, '11', '24')",39.09261265971217
"(1, '11', '63')",36.259348674308306
"(1, '11', '23')",35.59728530142064
"(1, '11', '20')",38.553667841237825
"(1, '11', '2')",34.01443737316194
"(1, '11', '1')",36.36017330824245
"(1, '11', '44')",37.26423077762906
"(1, '11', '10')",38.10807939261428
"(1, '11', '16')",37.57099520218227
"(1, '11', '22')",inf
"(1, '11', '14')",36.06708149741099
"(1, '11', '81')",36.054976423309746
"(1, '11', '55')",36.03106956590649
"(1, '11', '4')",36.50764552136644
"(1, '11', '40')",40.323392955352865
"(1, '11', '31')",37.8001292789866
"(1, '11', '77')",36.93128459527387
"(1, '11', '18')",41.975406289938526
"(1, '11', '27')",40.78318838720609
"(1, '24', '11')",40.619626415861376
"(1, '24', '63')",41.019355738007064
"(1, '24', '23')",39.96848170357902
"(1, '24', '20')",40.82547840083502
"(1, '24', '2')",36.15655642046216
"(1, '24', '1')",40.087912921436214
"(1, '24', '44')",39.854118301281794
"(1, '24', '10')",39.9600601776637
"(1, '24', '16')",41.71711119521431
"(1, '24', '22')",inf
"(1, '24', '14')",39.930315516171056
"(1, '24', '81')",40.05168456422803
"(1, '24', '55')",39.63079629243949
"(1, '24', '4')",40.00490021561697
"(1, '24', '40')",41.836781454777345
"(1, '24', '31')",39.32521215801976
"(1, '24', '77')",44.89998723564022
"(1, '24', '18')",44.93836720899231
"(1, '24', '27')",42.82357944970268
"(1, '63', '11')",35.51544381562468
"(1, '63', '24')",39.22587387967682
"(1, '63', '23')",35.51054845687848
"(1, '63', '20')",38.83038123741318
"(1, '63', '2')",34.11505945784617
"(1, '63', '1')",36.20510048738307
"(1, '63', '44')",37.114814789621036
"(1, '63', '10')",37.834813045374354
"(1, '63', '16')",37.42525441739289
"(1, '63', '22')",inf
"(1, '63', '14')",36.43517889492192
"(1, '63', '81')",35.79825527238762
"(1, '63', '55')",36.38055349120484
"(1, '63', '4')",36.342043157447286
"(1, '63', '40')",39.75719495632884
"(1, '63', '31')",37.55877785176692
"(1, '63', '77')",36.668663877883155
"(1, '63', '18')",42.091488607533115
"(1, '63', '27')",40.017007352558565
"(1, '23', '11')",35.78110086128747
"(1, '23', '24')",38.80091540014204
"(1, '23', '63')",36.925055843912325
"(1, '23', '20')",39.221669919352244
"(1, '23', '2')",32.72411694754516
"(1, '23', '1')",36.83526577546275
"(1, '23', '44')",37.424523387397485
"(1, '23', '10')",38.20197830544397
"(1, '23', '16')",38.45160124265342
"(1, '23', '22')",inf
"(1, '23', '14')",36.442106151895395
"(1, '23', '81')",36.20691886154969
"(1, '23', '55')",36.479960387972625
"(1, '23', '4')",36.47574730402867
"(1, '23', '40')",40.71946702084743
