driver-pairs,distance
"(1, '77', '4')",39.01277727247589
"(1, '77', '14')",41.36802820868251
"(1, '77', '40')",41.37849593608873
"(1, '77', '16')",41.88045091492734
"(1, '77', '63')",39.900759456400614
"(1, '77', '20')",41.255004002807674
"(1, '77', '10')",36.96460600357892
"(1, '77', '1')",40.144488158818
"(1, '77', '18')",39.299551881448515
"(1, '77', '11')",53.86230639792207
"(1, '77', '24')",44.84382324614856
"(1, '77', '27')",36.17162032646416
"(1, '77', '81')",35.53696092659643
"(1, '77', '55')",35.39854389372927
"(1, '77', '31')",39.170461411297886
"(1, '77', '23')",40.605016098651376
"(1, '77', '22')",inf
"(1, '77', '44')",44.66028215726012
"(1, '77', '2')",35.66597215731308
"(1, '4', '77')",42.86839380320966
"(1, '4', '14')",40.63003561040158
"(1, '4', '40')",42.45823718977516
"(1, '4', '16')",41.02635101824723
"(1, '4', '63')",40.34007788746446
"(1, '4', '20')",40.151411663009995
"(1, '4', '10')",36.732129981850186
"(1, '4', '1')",40.949177600550364
"(1, '4', '18')",37.47153752678794
"(1, '4', '11')",51.58960593756669
"(1, '4', '24')",43.566979023042784
"(1, '4', '27')",37.85416704831243
"(1, '4', '81')",38.074263340113674
"(1, '4', '55')",34.72299622570165
"(1, '4', '31')",40.67939269009015
"(1, '4', '23')",39.945836266331206
"(1, '4', '22')",inf
"(1, '4', '44')",42.66724883395918
"(1, '4', '2')",38.25914219664845
"(1, '14', '77')",41.89429748313457
"(1, '14', '4')",40.39430384744436
"(1, '14', '40')",42.735427820219655
"(1, '14', '16')",41.87281973086102
"(1, '14', '63')",39.58890526115284
"(1, '14', '20')",41.86732536367996
"(1, '14', '10')",36.402948005766625
"(1, '14', '1')",39.41983738415782
"(1, '14', '18')",38.90984345084635
"(1, '14', '11')",55.39941596322701
"(1, '14', '24')",42.31918164908826
"(1, '14', '27')",36.07122919583079
"(1, '14', '81')",38.033998036168654
"(1, '14', '55')",37.76944249380108
"(1, '14', '31')",39.52376389728141
"(1, '14', '23')",41.280638647232514
"(1, '14', '22')",inf
"(1, '14', '44')",44.47735269099643
"(1, '14', '2')",36.652455530608634
"(1, '40', '77')",43.4378151987986
"(1, '40', '4')",41.64047180851752
"(1, '40', '14')",43.30221439690966
"(1, '40', '16')",44.10816946895525
"(1, '40', '63')",42.54545841151782
"(1, '40', '20')",40.7524100609512
"(1, '40', '10')",36.36212530027599
"(1, '40', '1')",43.96984184820143
"(1, '40', '18')",41.047276086193456
"(1, '40', '11')",56.06558808684202
"(1, '40', '24')",43.463852387014654
"(1, '40', '27')",40.679586898246534
"(1, '40', '81')",40.4642969404956
"(1, '40', '55')",38.366388223432324
"(1, '40', '31')",44.59805538548707
"(1, '40', '23')",43.2185062212219
"(1, '40', '22')",inf
"(1, '40', '44')",44.78364857795131
"(1, '40', '2')",39.15777381117
"(1, '16', '77')",40.52783441432205
"(1, '16', '4')",37.17460869295496
"(1, '16', '14')",37.9229151213497
"(1, '16', '40')",42.347632675801194
"(1, '16', '63')",38.56864709839428
"(1, '16', '20')",40.288300589589866
"(1, '16', '10')",38.1189935217516
"(1, '16', '1')",40.53371712824646
"(1, '16', '18')",36.851502935295294
"(1, '16', '11')",51.7531527017001
"(1, '16', '24')",44.49155229539798
"(1, '16', '27')",36.848487239629506
"(1, '16', '81')",34.358803029265914
"(1, '16', '55')",35.72716578636278
"(1, '16', '31')",38.70121211258872
"(1, '16', '23')",39.18243866118841
"(1, '16', '22')",inf
"(1, '16', '44')",44.68903966909267
"(1, '16', '2')",36.49632622003094
"(1, '63', '77')",40.03892538114491
"(1, '63', '4')",38.316747014539004
"(1, '63', '14')",42.445938386324016
"(1, '63', '40')",42.83987540749013
"(1, '63', '16')",41.9840621283461
"(1, '63', '20')",39.20678544922321
"(1, '63', '10')",36.627352751565034
"(1, '63', '1')",39.57951720986846
"(1, '63', '18')",36.962117435744936
"(1, '63', '11')",55.11757310966914
"(1, '63', '24')",42.54134103483827
"(1, '63', '27')",36.21857508184357
"(1, '63', '81')",38.19065885076463
"(1, '63', '55')",37.8821489647487
"(1, '63', '31')",39.53760379210809
"(1, '63', '23')",41.37761194131211
"(1, '63', '22')",inf
"(1, '63', '44')",42.76206634716381
