driver-pairs,distance
"(1, '55', '44')",46.07461776685067
"(1, '55', '40')",45.300185837712434
"(1, '55', '14')",47.60472080293961
"(1, '55', '11')",45.08318617752239
"(1, '55', '81')",45.503135854701746
"(1, '55', '27')",48.72844552736641
"(1, '55', '4')",47.228136495699424
"(1, '55', '1')",44.580565824598125
"(1, '55', '16')",45.74151591276107
"(1, '55', '10')",44.97861718994747
"(1, '55', '2')",45.3534132476652
"(1, '55', '23')",46.79912693327597
"(1, '55', '22')",inf
"(1, '55', '63')",47.19178521042073
"(1, '55', '31')",48.21441008194073
"(1, '55', '77')",44.03218759136365
"(1, '55', '20')",44.68217732037518
"(1, '55', '18')",47.829069989819125
"(1, '55', '24')",45.914685432465284
"(1, '44', '55')",48.46597071717198
"(1, '44', '40')",44.07426398447745
"(1, '44', '14')",46.99328845942701
"(1, '44', '11')",43.64905572632681
"(1, '44', '81')",44.89734889863674
"(1, '44', '27')",47.41911591450042
"(1, '44', '4')",46.49044695302374
"(1, '44', '1')",43.795288118928184
"(1, '44', '16')",45.29146602576169
"(1, '44', '10')",43.59635837115886
"(1, '44', '2')",44.25981621487566
"(1, '44', '23')",45.597311657536025
"(1, '44', '22')",inf
"(1, '44', '63')",45.831169034620636
"(1, '44', '31')",46.66515313207731
"(1, '44', '77')",42.83765447178128
"(1, '44', '20')",43.54699494808073
"(1, '44', '18')",46.86374403705152
"(1, '44', '24')",45.211061281473924
"(1, '40', '55')",47.263035573689436
"(1, '40', '44')",43.49818510641173
"(1, '40', '14')",44.88960922758647
"(1, '40', '11')",40.80772537911617
"(1, '40', '81')",44.39243047675339
"(1, '40', '27')",47.811411317748345
"(1, '40', '4')",44.72738616072908
"(1, '40', '1')",42.110998505042254
"(1, '40', '16')",45.33026359534275
"(1, '40', '10')",40.07546222283348
"(1, '40', '2')",43.436822167581425
"(1, '40', '23')",44.79560387311969
"(1, '40', '22')",inf
"(1, '40', '63')",45.12752817947901
"(1, '40', '31')",45.399472719133776
"(1, '40', '77')",40.45424477221868
"(1, '40', '20')",41.71550529356301
"(1, '40', '18')",45.14939128223265
"(1, '40', '24')",44.90813411129818
"(1, '14', '55')",47.87685131672433
"(1, '14', '44')",44.0181306489068
"(1, '14', '40')",42.983232560955074
"(1, '14', '11')",43.36924921475917
"(1, '14', '81')",43.959731533634496
"(1, '14', '27')",45.49638744438896
"(1, '14', '4')",45.379103869056756
"(1, '14', '1')",43.025524350654436
"(1, '14', '16')",45.88712694720052
"(1, '14', '10')",42.99187830068811
"(1, '14', '2')",44.893096994710035
"(1, '14', '23')",44.89943568487618
"(1, '14', '22')",inf
"(1, '14', '63')",45.32701774231739
"(1, '14', '31')",45.928592475318744
"(1, '14', '77')",42.021210216747576
"(1, '14', '20')",42.62038919833633
"(1, '14', '18')",46.22920541857387
"(1, '14', '24')",44.96796280925737
"(1, '11', '55')",47.31267745481476
"(1, '11', '44')",43.42151958585724
"(1, '11', '40')",40.9112423769774
"(1, '11', '14')",43.39703271214866
"(1, '11', '81')",44.22150113679786
"(1, '11', '27')",45.546608333578
"(1, '11', '4')",44.90467661701973
