driver-pairs,distance
"(1, '16', '23')",47.61207042889579
"(1, '16', '2')",34.73939710329288
"(1, '16', '27')",38.77666458777602
"(1, '16', '4')",41.77072567459985
"(1, '16', '81')",47.69310625756593
"(1, '16', '14')",42.429917599780595
"(1, '16', '31')",49.75094838764375
"(1, '16', '55')",43.30328631915616
"(1, '16', '24')",45.20159355629051
"(1, '16', '40')",44.71270624024684
"(1, '16', '1')",43.57442128811313
"(1, '16', '18')",47.83909508485892
"(1, '16', '20')",39.6414027374996
"(1, '16', '63')",42.88170284680905
"(1, '16', '10')",46.57725187724269
"(1, '16', '22')",inf
"(1, '16', '11')",44.24032185192808
"(1, '16', '77')",49.95589423342901
"(1, '16', '44')",44.86545691881161
"(1, '23', '16')",44.77076721373871
"(1, '23', '2')",35.12324290263577
"(1, '23', '27')",39.50087379381427
"(1, '23', '4')",40.37619543577993
"(1, '23', '81')",46.61447732909255
"(1, '23', '14')",38.752758696939026
"(1, '23', '31')",49.96449398971393
"(1, '23', '55')",42.51955928080292
"(1, '23', '24')",45.184470730397344
"(1, '23', '40')",43.44767752458628
"(1, '23', '1')",43.45806431030522
"(1, '23', '18')",46.05807425538881
"(1, '23', '20')",38.80879225392105
"(1, '23', '63')",42.58751830773514
"(1, '23', '10')",45.90656250146232
"(1, '23', '22')",inf
"(1, '23', '11')",44.16049996679258
"(1, '23', '77')",49.54104427094745
"(1, '23', '44')",44.92004815974002
"(1, '2', '16')",42.80839356040631
"(1, '2', '23')",45.09447417742511
"(1, '2', '27')",39.02595074214011
"(1, '2', '4')",41.04974831731685
"(1, '2', '81')",47.84058969743677
"(1, '2', '14')",42.79013112621225
"(1, '2', '31')",50.462965097577445
"(1, '2', '55')",41.66841245853445
"(1, '2', '24')",44.85344777394604
"(1, '2', '40')",44.3136365469217
"(1, '2', '1')",44.03807456771403
"(1, '2', '18')",47.25982879033963
"(1, '2', '20')",39.52492730071989
"(1, '2', '63')",42.758723346226525
"(1, '2', '10')",46.42424788430728
"(1, '2', '22')",inf
"(1, '2', '11')",43.20883847692378
"(1, '2', '77')",49.17699291822155
"(1, '2', '44')",45.28073519685936
"(1, '27', '16')",44.69413513322059
"(1, '27', '23')",46.10407057358744
"(1, '27', '2')",37.62306070276395
"(1, '27', '4')",41.46919385124783
"(1, '27', '81')",48.153496805110166
"(1, '27', '14')",39.02015758796352
"(1, '27', '31')",49.99098288526176
"(1, '27', '55')",43.4189523430524
"(1, '27', '24')",45.13876251643949
"(1, '27', '40')",45.01748405568501
"(1, '27', '1')",43.479480870719115
"(1, '27', '18')",46.019603339412214
"(1, '27', '20')",39.65202621780018
"(1, '27', '63')",42.62376949045847
"(1, '27', '10')",46.36174308880549
"(1, '27', '22')",inf
"(1, '27', '11')",43.20454418787727
"(1, '27', '77')",47.912447662870285
"(1, '27', '44')",45.061420300132156
"(1, '4', '16')",45.307449595018575
"(1, '4', '23')",45.069904138746594
"(1, '4', '2')",36.452868705624404
"(1, '4', '27')",38.858321272834495
"(1, '4', '81')",47.38910849796523
"(1, '4', '14')",40.577471852068875
"(1, '4', '31')",49.964612392202426
"(1, '4', '55')",42.90545006439669
"(1, '4', '24')",44.67718869423292
"(1, '4', '40')",44.16635623951974
"(1, '4', '1')",45.16288233277148
"(1, '4', '18')",46.88633152532467
"(1, '4', '20')",39.738147964015745
"(1, '4', '63')",43.51537238876847
"(1, '4', '10')",46.532551118934215
"(1, '4', '22')",inf
"(1, '4', '11')",42.475380132556104
"(1, '4', '77')",48.52117475406981
"(1, '4', '44')",45.60955244893931
"(1, '81', '16')",44.39531648208425
"(1, '81', '23')",48.18722279631362
