driver-pairs,distance
"(1, '18', '4')",4176.18963103516
"(1, '18', '40')",5786.734633771839
"(1, '18', '44')",6554.718021630285
"(1, '18', '20')",1327.6692516818098
"(1, '18', '55')",4882.826536603011
"(1, '18', '1')",3702.525682153244
"(1, '18', '14')",4336.391624092702
"(1, '18', '31')",9422.39202803599
"(1, '18', '11')",4119.533062025442
"(1, '18', '27')",5659.62477526828
"(1, '18', '77')",5990.314903277591
"(1, '18', '2')",4718.8317113345465
"(1, '18', '63')",4719.243457954338
"(1, '18', '10')",4158.264484410849
"(1, '18', '24')",3353.4791955627497
"(1, '18', '23')",5665.635649152916
"(1, '18', '16')",2995.6446271783443
"(1, '18', '81')",4304.894030653654
"(1, '4', '18')",1566.7755221726227
"(1, '4', '40')",1349.1000912693214
"(1, '4', '44')",3911.944887494498
"(1, '4', '20')",1672.8636214051444
"(1, '4', '55')",3208.283770708999
"(1, '4', '1')",3232.4242081476914
"(1, '4', '14')",1523.6067950565714
"(1, '4', '31')",1505.706678053842
"(1, '4', '11')",5370.483200920079
"(1, '4', '27')",1533.658936595056
"(1, '4', '77')",1294.5757702809449
"(1, '4', '2')",1731.604259226976
"(1, '4', '63')",3539.4592040793054
"(1, '4', '10')",1682.584801365938
"(1, '4', '24')",1902.56582609597
"(1, '4', '23')",1807.8026580004541
"(1, '4', '16')",2955.083959623466
"(1, '4', '81')",6590.317477198108
"(1, '40', '18')",1169.6191487957387
"(1, '40', '4')",5797.24832158876
"(1, '40', '44')",6190.11080414626
"(1, '40', '20')",1562.7517940377493
"(1, '40', '55')",2589.141500490349
"(1, '40', '1')",3657.3264942075334
"(1, '40', '14')",1157.4487602246156
"(1, '40', '31')",1069.6569145011883
"(1, '40', '11')",2318.2277078170937
"(1, '40', '27')",610.042437563579
"(1, '40', '77')",511.77597165451436
"(1, '40', '2')",1051.8390070001747
"(1, '40', '63')",2125.3451121492108
"(1, '40', '10')",1078.1281492591306
"(1, '40', '24')",1026.6786465841565
"(1, '40', '23')",4904.572090516819
"(1, '40', '16')",1999.348529198867
"(1, '40', '81')",5529.162870684406
"(1, '44', '18')",1439.127981271122
"(1, '44', '4')",601.7318664959131
"(1, '44', '40')",1254.1939715544436
"(1, '44', '20')",1431.4701931635038
"(1, '44', '55')",3269.7281266976347
"(1, '44', '1')",3290.9389317777573
"(1, '44', '14')",1419.1944639797784
"(1, '44', '31')",1414.1032047022916
"(1, '44', '11')",5177.406431158012
"(1, '44', '27')",1433.2655397338665
"(1, '44', '77')",1659.4123334143903
"(1, '44', '2')",1995.3051928772031
"(1, '44', '63')",3115.150132263163
"(1, '44', '10')",1590.9455323660527
