driver-pairs,distance
"(1, '63', '27')",46.64390171685468
"(1, '63', '10')",46.4475851204763
"(1, '63', '16')",40.60672964522086
"(1, '63', '24')",44.71531516978236
"(1, '63', '4')",46.79813976687719
"(1, '63', '22')",47.47304130725826
"(1, '63', '77')",52.18225096709019
"(1, '63', '2')",49.71391247793203
"(1, '63', '14')",45.66637102422983
"(1, '63', '20')",47.46386802462678
"(1, '63', '81')",42.382028949856405
"(1, '63', '44')",45.538090756616526
"(1, '63', '18')",46.389065716813946
"(1, '63', '23')",51.7068092853476
"(1, '63', '21')",44.33778092581758
"(1, '63', '55')",45.09739231869416
"(1, '63', '1')",52.831087108908875
"(1, '63', '11')",43.727028908121625
"(1, '63', '31')",50.89014519589823
"(1, '27', '63')",44.24229657997924
"(1, '27', '10')",47.399605023917196
"(1, '27', '16')",38.583871445500286
"(1, '27', '24')",43.561981940888565
"(1, '27', '4')",45.41449528555843
"(1, '27', '22')",49.1140562692462
"(1, '27', '77')",55.68956105552927
"(1, '27', '2')",50.00975817648889
"(1, '27', '14')",46.050068844698885
"(1, '27', '20')",48.00373080176815
"(1, '27', '81')",41.018857262344554
"(1, '27', '44')",45.53205772218774
"(1, '27', '18')",48.54178967338416
"(1, '27', '23')",50.98951895770393
"(1, '27', '21')",44.710353626506794
"(1, '27', '55')",44.418374427797346
"(1, '27', '1')",51.95055287233089
"(1, '27', '11')",44.549860604750116
"(1, '27', '31')",51.28947303647213
"(1, '10', '63')",43.72655501393106
"(1, '10', '27')",48.62344704591226
"(1, '10', '16')",40.391065691196395
"(1, '10', '24')",44.083465967841406
"(1, '10', '4')",46.95800183589637
"(1, '10', '22')",49.204611585251364
"(1, '10', '77')",52.28455156489056
"(1, '10', '2')",49.917828735709
"(1, '10', '14')",44.838384115061594
"(1, '10', '20')",49.02057449449045
"(1, '10', '81')",43.84095275010029
"(1, '10', '44')",45.75088631520279
"(1, '10', '18')",46.99355914251756
"(1, '10', '23')",52.622199495180354
"(1, '10', '21')",45.19777341572157
"(1, '10', '55')",44.66742579204499
"(1, '10', '1')",52.40690114670605
"(1, '10', '11')",42.31220624410942
"(1, '10', '31')",51.28311031627211
"(1, '16', '63')",43.19619834335865
"(1, '16', '27')",46.02306930951711
"(1, '16', '10')",46.11188553579159
"(1, '16', '24')",43.091393024843235
"(1, '16', '4')",45.097426452556576
"(1, '16', '22')",48.78963231432675
"(1, '16', '77')",50.822615575126484
"(1, '16', '2')",48.21806789470996
"(1, '16', '14')",44.189428707469105
"(1, '16', '20')",48.395546969898426
"(1, '16', '81')",42.51598755526825
"(1, '16', '44')",44.01975341896039
"(1, '16', '18')",46.70307562484542
"(1, '16', '23')",50.48293253906763
"(1, '16', '21')",44.34958703620747
"(1, '16', '55')",43.6913896375957
"(1, '16', '1')",52.45769545229307
"(1, '16', '11')",42.14301829814464
"(1, '16', '31')",51.407663910005816
"(1, '24', '63')",43.51032883492213
"(1, '24', '27')",46.65632447342418
"(1, '24', '10')",45.85230750562598
"(1, '24', '16')",39.49273697897239
"(1, '24', '4')",46.60769489383482
"(1, '24', '22')",48.89820263922687
"(1, '24', '77')",53.36692882235057
"(1, '24', '2')",48.930425889086855
"(1, '24', '14')",45.69420679202029
"(1, '24', '20')",48.667811765195765
"(1, '24', '81')",41.4626528456025
"(1, '24', '44')",44.67241850732717
"(1, '24', '18')",45.85762843777503
"(1, '24', '23')",52.48016985223837
"(1, '24', '21')",44.87602517781676
"(1, '24', '55')",44.4551412244523
"(1, '24', '1')",49.653648788868246
"(1, '24', '11')",44.27236778495759
"(1, '24', '31')",50.11807143737458
"(1, '4', '63')",43.43432738951189
"(1, '4', '27')",48.51068834780214
"(1, '4', '10')",47.53803827053186
"(1, '4', '16')",39.78679110605973
"(1, '4', '24')",43.91584568211541
"(1, '4', '22')",49.22022578424668
