driver-pairs,distance
"(1, '63', '27')",49.72427494018859
"(1, '63', '10')",46.30459951629922
"(1, '63', '16')",40.60672964522086
"(1, '63', '24')",44.28920077373676
"(1, '63', '4')",47.239262934392364
"(1, '63', '22')",47.47304130725826
"(1, '63', '77')",51.18842125221716
"(1, '63', '2')",49.71391247793203
"(1, '63', '14')",47.175279324576884
"(1, '63', '20')",47.463868024626784
"(1, '63', '81')",42.382028949856405
"(1, '63', '44')",45.53809075661653
"(1, '63', '18')",46.38906571681394
"(1, '63', '23')",52.22312098956876
"(1, '63', '21')",44.337780925817576
"(1, '63', '55')",46.03225342474637
"(1, '63', '1')",52.831087108908875
"(1, '63', '11')",42.08630133049828
"(1, '63', '31')",51.3787816448009
"(1, '27', '63')",45.693260882213316
"(1, '27', '10')",48.83557969954933
"(1, '27', '16')",38.583871445500286
"(1, '27', '24')",42.6982336353422
"(1, '27', '4')",46.41012385950776
"(1, '27', '22')",49.11405626924619
"(1, '27', '77')",53.90507698202871
"(1, '27', '2')",50.00975817648889
"(1, '27', '14')",47.81731917864772
"(1, '27', '20')",48.00373080176814
"(1, '27', '81')",41.018857262344554
"(1, '27', '44')",45.532057722187744
"(1, '27', '18')",47.98604400783006
"(1, '27', '23')",51.986119078057726
"(1, '27', '21')",44.710353626506794
"(1, '27', '55')",45.296345327833244
"(1, '27', '1')",51.95055287233089
"(1, '27', '11')",42.44715837339238
"(1, '27', '31')",51.998702063148684
"(1, '10', '63')",45.81013945198061
"(1, '10', '27')",49.5918603942214
"(1, '10', '16')",40.391065691196395
"(1, '10', '24')",43.57134749288701
"(1, '10', '4')",47.51436180781464
"(1, '10', '22')",49.20461158525135
"(1, '10', '77')",50.934771461580375
"(1, '10', '2')",49.91782873570901
"(1, '10', '14')",48.126508879958756
"(1, '10', '20')",49.02057449449046
"(1, '10', '81')",43.84095275010029
"(1, '10', '44')",45.7508863152028
"(1, '10', '18')",46.637388120114636
"(1, '10', '23')",53.263593675097354
"(1, '10', '21')",45.19777341572157
"(1, '10', '55')",45.27184091445096
"(1, '10', '1')",52.40690114670605
"(1, '10', '11')",41.46961615608759
"(1, '10', '31')",52.306320150775235
"(1, '16', '63')",43.49032062309245
"(1, '16', '27')",46.751668840577636
"(1, '16', '10')",47.22165337610712
"(1, '16', '24')",43.091393024843235
"(1, '16', '4')",46.09533221564649
"(1, '16', '22')",48.789632314326745
"(1, '16', '77')",49.32303771731754
"(1, '16', '2')",48.21806789470996
"(1, '16', '14')",45.29106021597832
"(1, '16', '20')",48.39554696989843
"(1, '16', '81')",42.51598755526824
"(1, '16', '44')",44.01975341896039
"(1, '16', '18')",46.70307562484541
"(1, '16', '23')",51.697995721118275
"(1, '16', '21')",44.34958703620747
"(1, '16', '55')",44.59178679837987
"(1, '16', '1')",52.45769545229307
"(1, '16', '11')",40.6647337457708
"(1, '16', '31')",52.864029726108164
"(1, '24', '63')",45.2809247418318
"(1, '24', '27')",49.199762158350566
"(1, '24', '10')",47.1959391879785
"(1, '24', '16')",39.49273697897239
"(1, '24', '4')",47.16962466587625
"(1, '24', '22')",48.89820263922689
"(1, '24', '77')",52.002035821587704
"(1, '24', '2')",48.930425889086855
"(1, '24', '14')",47.26950436119196
"(1, '24', '20')",48.66781176519576
"(1, '24', '81')",41.4626528456025
"(1, '24', '44')",44.67241850732717
"(1, '24', '18')",45.85762843777503
"(1, '24', '23')",53.1158590507835
"(1, '24', '21')",44.87602517781676
"(1, '24', '55')",45.06382448827569
"(1, '24', '1')",49.653648788868246
"(1, '24', '11')",42.55420951645722
"(1, '24', '31')",51.43444381565431
"(1, '4', '63')",46.477536804853735
"(1, '4', '27')",51.751268969375495
"(1, '4', '10')",48.92297877601776
"(1, '4', '16')",39.78679110605973
"(1, '4', '24')",43.19839895825144
"(1, '4', '22')",49.220225784246665
"(1, '4', '77')",53.127729187171944
"(1, '4', '2')",50.749795473194325
"(1, '4', '14')",48.09107380728456
"(1, '4', '20')",48.36803273267842
"(1, '4', '81')",41.784724893122196
"(1, '4', '44')",47.11193027201891
